¦~«×´Á§O,¿¤¥«§O,­×½Ò¤H¦¸¦X­p,¨k©Ê­×½Ò¤H¦¸,¤k©Ê­×½Ò¤H¦¸,¨k©Ê­×½Ò¤ñ²v,¤k©Ê­×½Ò¤ñ²v
108¦~¬K©u¯Z ( §t´H°²¯Z ),»O¥_¥«,"67,640","18,141","49,229",26.80%,72.80%
108¦~¬K©u¯Z ( §t´H°²¯Z ),»O¤¤¥«,"26,195","5,852","20,307",22.30%,77.50%
108¦~¬K©u¯Z ( §t´H°²¯Z ),°ò¶©¥«,"2,062",497,"1,565",24.10%,75.90%
108¦~¬K©u¯Z ( §t´H°²¯Z ),»O«n¥«,"12,887","3,425","9,465",26.60%,73.40%
108¦~¬K©u¯Z ( §t´H°²¯Z ),°ª¶¯¥«,"7,277","2,113","5,213",29.00%,71.60%
108¦~¬K©u¯Z ( §t´H°²¯Z ),·s¥_¥«,"24,735","6,365","18,347",25.70%,74.20%
108¦~¬K©u¯Z ( §t´H°²¯Z ),©yÄõ¿¤,"4,300","1,485","2,815",34.50%,65.50%
108¦~¬K©u¯Z ( §t´H°²¯Z ),®ç¶é¥«,"19,012","4,526","14,075",23.80%,74.00%
108¦~¬K©u¯Z ( §t´H°²¯Z ),¹Å¸q¥«,"4,837","1,291","3,546",26.70%,73.30%
108¦~¬K©u¯Z ( §t´H°²¯Z ),·s¦Ë¿¤,"3,307",982,"2,322",29.70%,70.20%
108¦~¬K©u¯Z ( §t´H°²¯Z ),­]®ß¿¤,"6,827","2,054","4,772",30.10%,69.90%
108¦~¬K©u¯Z ( §t´H°²¯Z ),«n§ë¿¤,"5,136","1,590","3,381",31.00%,65.80%
108¦~¬K©u¯Z ( §t´H°²¯Z ),¹ü¤Æ¿¤,"19,712","4,985","14,728",25.30%,74.70%
108¦~¬K©u¯Z ( §t´H°²¯Z ),·s¦Ë¥«,"6,543","1,726","4,817",26.40%,73.60%
108¦~¬K©u¯Z ( §t´H°²¯Z ),¶³ªL¿¤,"4,655","1,211","3,444",26.00%,74.00%
108¦~¬K©u¯Z ( §t´H°²¯Z ),¹Å¸q¿¤,"1,606",333,"1,273",20.70%,79.30%
108¦~¬K©u¯Z ( §t´H°²¯Z ),«ÌªF¿¤,"5,027","1,288","3,741",25.60%,74.40%
108¦~¬K©u¯Z ( §t´H°²¯Z ),ªá½¬¿¤,605,156,449,25.80%,74.20%
108¦~¬K©u¯Z ( §t´H°²¯Z ),»OªF¿¤,670,209,461,31.20%,68.80%
108¦~¬K©u¯Z ( §t´H°²¯Z ),ª÷ªù¿¤,"1,377",352,"1,025",25.60%,74.40%
108¦~¬K©u¯Z ( §t´H°²¯Z ),¼ê´ò¿¤,571,161,410,28.20%,71.80%
108¦~«×¬î©u¯Z¡]§t´»´Á¯Z¡^,»O¥_¥«,"60,661","15,889","44,453",26.20%,73.30%
108¦~«×¬î©u¯Z¡]§t´»´Á¯Z¡^,»O¤¤¥«,"30,481","7,108","23,371",23.30%,76.70%
108¦~«×¬î©u¯Z¡]§t´»´Á¯Z¡^,°ò¶©¥«,"2,123",507,"1,616",23.90%,76.10%
108¦~«×¬î©u¯Z¡]§t´»´Á¯Z¡^,»O«n¥«,"13,571","4,161","9,437",30.70%,69.50%
108¦~«×¬î©u¯Z¡]§t´»´Á¯Z¡^,°ª¶¯¥«,"8,972","2,411","6,571",26.90%,73.20%
108¦~«×¬î©u¯Z¡]§t´»´Á¯Z¡^,·s¥_¥«,"33,375","8,354","25,019",25.00%,75.00%
108¦~«×¬î©u¯Z¡]§t´»´Á¯Z¡^,©yÄõ¿¤,"4,307","1,463","2,844",34.00%,66.00%
108¦~«×¬î©u¯Z¡]§t´»´Á¯Z¡^,®ç¶é¥«,"18,390","4,333","13,598",23.60%,73.90%
108¦~«×¬î©u¯Z¡]§t´»´Á¯Z¡^,¹Å¸q¥«,"5,278","1,819","3,459",34.50%,65.50%
108¦~«×¬î©u¯Z¡]§t´»´Á¯Z¡^,·s¦Ë¿¤,"4,106","1,192","2,909",29.00%,70.80%
108¦~«×¬î©u¯Z¡]§t´»´Á¯Z¡^,­]®ß¿¤,"7,280","2,289","4,981",31.40%,68.40%
108¦~«×¬î©u¯Z¡]§t´»´Á¯Z¡^,«n§ë¿¤,"5,775","1,775","3,880",30.70%,67.20%
108¦~«×¬î©u¯Z¡]§t´»´Á¯Z¡^,¹ü¤Æ¿¤,"19,347","4,562","14,784",23.60%,76.40%
108¦~«×¬î©u¯Z¡]§t´»´Á¯Z¡^,·s¦Ë¥«,"6,302","1,459","4,644",23.20%,73.70%
108¦~«×¬î©u¯Z¡]§t´»´Á¯Z¡^,¶³ªL¿¤,"4,223","1,092","3,131",25.90%,74.10%
108¦~«×¬î©u¯Z¡]§t´»´Á¯Z¡^,¹Å¸q¿¤,"1,672",288,"1,384",17.20%,82.80%
108¦~«×¬î©u¯Z¡]§t´»´Á¯Z¡^,«ÌªF¿¤,"5,408","1,467","3,941",27.10%,72.90%
108¦~«×¬î©u¯Z¡]§t´»´Á¯Z¡^,ªá½¬¿¤,"1,332",308,"1,024",23.10%,76.90%
108¦~«×¬î©u¯Z¡]§t´»´Á¯Z¡^,»OªF¿¤,760,192,568,25.30%,74.70%
108¦~«×¬î©u¯Z¡]§t´»´Á¯Z¡^,ª÷ªù¿¤,"1,398",302,"1,096",21.60%,78.40%
108¦~«×¬î©u¯Z¡]§t´»´Á¯Z¡^,¼ê´ò¿¤,531,149,382,28.10%,71.90%
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
